f,ZN4L,PN4l,Perror,Zerror
3,16567.5837301238,-24.3319087995455,2.8222807727456,49.4490954189761
4,15313.3625668395,-22.9100163951435,0.740285266183345,45.8752024174519
5,14445.3659552879,-21.5187196466371,-0.378211565433706,41.4463304187844
6,13822.3714668482,-20.3746686904427,-1.28508001378655,39.140114676728
7,13347.8595994368,-19.1763639818679,-1.88899500092043,36.3800144201703
8,12977.3896764533,-18.1696404515896,-1.71537057217739,33.9557652119077
9,12688.0212864754,-17.2785613271645,-1.67069954202073,32.8647809250007
10,12464.1754880814,-16.4816829495579,-1.89201854662685,31.439040329901
15,11720.1326933994,-13.6915195822543,-2.3879192661209,24.7709508201708
20,11341.9527843497,-11.9189979744923,-1.39347446295498,22.4767046711946
25,11090.9859340209,-10.7111831812081,-1.88453999691707,20.1768856404183
30,10928.3618965013,-9.91271737190637,-1.57057485032272,19.7999932638946
35,10811.8978356554,-9.28167188492699,-1.73977008665695,18.1182001020521
40,10709.3419440497,-8.75600133586411,-1.78029665077843,17.3138545520162
45,10647.1951636256,-8.14935720407425,-1.43516516816038,13.8582366166209
50,10649.0842987096,-6.60277072839532,-0.478122811898128,-2.68416516179336
55,10510.8990843464,-8.11446586517363,-1.7990936278253,17.9243574295633
60,10457.2247839048,-7.881106522023,-1.36532606925459,17.7780431987278
65,10410.9385058169,-7.61721034429125,-1.81598896273791,16.1110208176277
70,10375.4800798238,-7.43844364127962,-1.20013646807859,15.8426103377305
75,10349.9414830353,-7.35632723006738,-1.449848940795,15.0391247624971
80,10321.346166103,-7.33064739138225,-1.73091601639832,15.5599816835164
85,10292.830460397,-7.29727962968711,-1.04120572096621,15.4479434377307
90,10262.4537337419,-7.2392383841139,-1.34028634697672,15.8751283371997
95,10235.4783103213,-7.21542822501708,-1.60736689278921,15.4589331392654
100,10212.1221209516,-7.23236146231008,-1.83975354802038,16.0716726945615
150,10036.6071102751,-7.5733898173694,-1.62796937181672,13.645010256825
200,9896.1741667513,-8.22511494254172,-1.04915123257963,14.6516486512383
250,9775.0700621162,-9.01648981403266,-1.5849496412741,13.1591100140333
300,9664.65734395691,-9.82193852191669,-1.60732709411803,13.8662904362276
350,9557.04635086683,-10.6270985507437,-1.80969771186137,12.3937737516464
400,9455.12229254716,-11.4194503512656,-1.84955521506778,12.4301109738461
450,9356.60460657357,-12.1896737731312,-1.96006351810122,10.5800515841035
500,9259.46361928149,-12.930788227062,-1.94974987905965,10.2916249473247
550,9163.49551948732,-13.6541033762056,-2.03529843077957,9.91719001165137
600,9070.37209963151,-14.3497591161059,-2.09062978106704,10.103020575995
650,8979.26481485496,-15.0215244764867,-2.12417373891786,8.79753901513326
700,8890.68417855726,-15.6668838692389,-2.12937292159513,8.72466969594852
750,8803.71839804242,-16.2909681224818,-2.11594230454946,7.92444078691806
800,8718.14012373898,-16.8954317153162,-2.20069732234056,8.25922497174881
850,8636.03348738175,-17.471417417442,-2.13022000073356,7.8494914561017
900,8552.9781099987,-18.0350656022949,-2.303547226094,7.40261018027594
950,8473.70828806573,-18.5712251160259,-2.3164794593027,6.84513330748919
1000,8394.42743894345,-19.0971668669599,-2.09153706233775,6.79245710108004
1500,7697.96363358159,-23.529632526355,-2.36473403984782,5.65088521831246
2000,7123.05595568008,-26.8697237570833,-2.48410296677257,5.84197951298064
2500,6642.29300674984,-29.4955363766136,-2.52483582220389,4.053278982109
3000,6235.168164851,-31.6235617816414,-2.48320223377166,4.18536593309907
3500,5884.82206160996,-33.3879539828649,-2.46698943264766,3.55803168853815
4000,5580.26584099957,-34.8788936330886,-2.50407709922653,3.66666915109761
4500,5312.38712389838,-36.1580360907583,-2.59041505997469,2.92614368795529
5000,5074.81373592601,-37.2675566422331,-2.46681495298566,3.13290364979271
5500,4862.31515268305,-38.2381520786684,-2.4203459385394,2.97648295431963
6000,4670.94343302502,-39.0930857044749,-2.54887623200946,3.05190977630679
6500,4497.36709272235,-39.8550820027671,-2.50441880672613,2.89820505873489
7000,4338.71501318609,-40.5422542547048,-2.56492962722142,3.06409763724633
7500,4194.3990732183,-41.1512098997594,-2.51766522303451,3.04051789195816
8000,4061.19794781102,-41.7058273629217,-2.67906301507971,2.89126829310598
8500,3937.89841297048,-42.2115683387725,-2.59279382863757,2.63332631910641
9000,3824.2817580924,-42.6665640587575,-2.50290768207798,2.73414108797456
9500,3717.59614223883,-43.0904328355494,-2.75457187502615,2.76263837982922
10000,3619.07950406168,-43.468582626021,-2.51225472765321,2.68833846291889
12500,3208.74198238232,-44.9748932980316,-2.22074626158551,2.16763893484156
15000,2898.73317506955,-46.0051313505804,-2.80352899084961,2.61955854749498
17500,2655.18489271782,-46.719488640172,-2.44107698337498,2.18214854195863
20000,2457.06660967375,-47.2243761649717,-2.56132210980677,2.38092327793568
22500,2293.69519858289,-47.5656271253374,-2.4547638871938,2.24033023369895
25000,2155.42854546212,-47.7933513125081,-2.99575945924194,2.28766404213617
27500,2036.47031077665,-47.9370759622892,-2.62855239971262,1.95480417501131
30000,1933.92171883674,-48.0047811518147,-2.38263424597007,2.0930855796157
32500,1843.93083184086,-48.0168029227004,-2.49842170669449,2.32585856350812
35000,1763.82161055374,-47.9906407214423,-2.61808729238569,2.27261129471657
37500,1691.87227706707,-47.935647600306,-2.25358163554881,2.16049568984948
40000,1628.48401931862,-47.8363933518983,-2.54936371428127,2.37558325841728
42500,1570.01476768038,-47.7273061640084,-2.54680612837156,2.36197316507773
45000,1517.12190784437,-47.5895134829997,-2.82627862229997,2.49952856404932
47500,1468.59105219641,-47.4411657995063,-2.81963775699598,2.61622112060149
50000,1424.77849243441,-47.2737044599715,-3.17393249587334,2.69431912417613
52500,1384.01819018758,-47.1006165783288,-2.59980757966395,2.54904641499145
55000,1346.9743545148,-46.9081122594571,-2.45183921835633,2.57548684281911
