f,ZN4L,PN4l,Perror,Zerror
3,20231.5968862285,-10.7779366322292,4.1103867920311,-7.62727965306955
4,19482.3730709545,-11.3476783379055,5.55565313841659,-1.34231564870565
5,18890.8289591493,-11.6741317145179,6.30374115251611,1.4916031339731
6,18403.631443526,-11.8523482706439,6.54018445880938,3.8165286769736
7,17996.8352254693,-11.9468674039894,6.65025383893904,4.57749622136723
8,17650.0070889513,-11.9872348249959,7.08219029404107,6.56727624417873
9,17347.6656640807,-11.9902938197339,6.61567778803258,6.59111304206113
10,17081.0807298157,-11.9686730009225,6.91455504776179,8.09340351138232
15,16112.0495596848,-11.6787825736281,7.52262805048435,9.23711497176201
20,15486.5143083843,-11.2893807086383,7.01587385481618,12.4841277392648
25,15041.0422841986,-10.9006901710669,6.92134404337296,13.6751907234606
30,14707.2731212523,-10.5432073502527,6.84880951722274,15.7751554626576
35,14444.7819148895,-10.2191355465831,6.54064506100724,16.8227100887995
40,14232.4445950265,-9.93177158325913,5.84892208410494,18.4435532765045
45,14059.2124378815,-9.68392901928961,6.11138384655498,18.5248055382918
50,13913.6375937468,-9.47287964576664,5.84777049326416,19.3487061411758
55,13790.830490472,-9.26337119809991,5.73446603537341,19.467763512163
60,13684.3076480572,-9.09912783874867,5.73143828850237,20.3220338423443
65,13591.8770116339,-8.95897428756714,5.09037133753977,20.1917566621165
70,13510.0453574427,-8.83705213054113,5.25568448259543,21.2407045111115
75,13436.7037461527,-8.72965905686643,4.73854122395898,20.8445604234126
80,13371.6317788706,-8.64191476708656,5.02281090279426,21.0823042831373
85,13311.9533056947,-8.56548489448559,4.5970211256146,20.6116164611089
90,13258.7940340482,-8.50646725412703,4.96873269436482,21.1188405298975
95,13209.8334281158,-8.45781873782186,4.61651111222804,21.0198254766536
100,13165.0673984906,-8.42078944592538,4.29217246966308,21.5037967348961
150,12845.3124429815,-8.45285104007858,4.24522521660771,18.8439501953387
200,12638.3675660629,-8.89447845436251,3.46854578941074,19.1633322078206
250,12474.8071538472,-9.51969937845677,3.80612820696607,17.0141862055242
300,12331.2042168356,-10.2244129282908,3.49685407242636,16.670032208644
350,12196.813320359,-10.9730363241967,3.25341800301792,14.8822648166731
400,12069.9815234844,-11.7231108590937,3.06530314702235,14.6984096610933
450,11947.1283614136,-12.4710189128199,2.90553805828954,13.3992172131352
500,11826.3175532689,-13.2088456870604,2.75924903757267,12.9371311282291
550,11708.0292855394,-13.9338739214646,2.6309234289314,11.7259129131895
600,11590.5956269502,-14.6404262382986,3.3699357610409,11.2047710332866
650,11476.0294769807,-15.3240569175726,3.27665136914305,10.5980872187326
700,11364.5830284351,-15.9822354922515,3.20806339768783,10.5256582726933
750,11253.9112143763,-16.6226913156214,3.14478413446309,9.76190488538053
800,11145.1008595278,-17.2442332350603,3.09643550002289,10.1148784714534
850,11040.6975637766,-17.837087962868,3.08583367861135,9.73862979475226
900,10933.8268299787,-18.4224357891013,3.05315636665683,9.34966368627689
950,10831.8619914357,-18.9792672038713,3.06375756724116,8.84790327167534
1000,10730.0825229679,-19.5256622451195,3.07623470985793,8.83791916225947
1500,9827.20448514544,-24.1448408699254,2.51551176653651,7.22655775337381
2000,9076.02484490572,-27.6465715426912,2.26998987361038,7.40262328560665
2500,8447.06961621989,-30.3981215741629,2.33299386856574,6.5731744946413
3000,7913.71075979854,-32.6346514668168,1.94233482198251,6.84748071873536
3500,7455.18359024285,-34.484773434073,1.81328318218453,6.04548972333708
4000,7056.75105584927,-36.0499914405097,1.79616731334468,6.24130922256294
4500,6706.6024689549,-37.3942305756789,1.5895152493139,5.86783186042088
5000,6396.02697938725,-38.5594177068371,1.65770062773257,6.11891425533311
5500,6119.43062516124,-39.5834570737154,1.46142068828305,6.02134641569261
6000,5870.37255640264,-40.4856829615274,1.369121902067,6.13965920715588
6500,5644.37823410262,-41.2886000641983,1.14057264471844,6.0273297237709
7000,5437.81734473291,-42.0116120103341,1.06324543594515,5.97837571601939
7500,5250.15423949349,-42.6533072061981,0.955290782053827,5.98618811398308
8000,5077.05272457213,-43.2367834538984,0.729807756236128,6.09847274302887
8500,4916.9301835263,-43.7678402465154,0.751082121320934,5.86695672450916
9000,4769.58376049015,-44.2462931804603,0.620258747423823,5.98082458493715
9500,4631.28759179108,-44.6922277652451,0.675570047658793,6.02392832012439
10000,4503.69381658037,-45.0880102196548,0.52609741126587,6.40527316593762
12500,3973.23434072731,-46.6632001070406,-0.421965024837123,5.70728132860904
15000,3572.63547790604,-47.7313387243985,-0.765947778976758,5.72231744885543
17500,3260.7529796679,-48.4648276595179,-0.896940691750216,5.49847753145682
20000,3007.67263098058,-48.9743477055343,-1.4073130361139,5.66489975979978
22500,2799.73395075399,-49.313541230196,-1.79538663780799,5.50262901933811
25000,2624.37632413225,-49.5306161812573,-1.73845783656185,5.51298649559411
27500,2474.15960809797,-49.6597741679886,-1.85276615752636,5.55736350844613
30000,2345.76744991235,-49.7084888775252,-2.31193207535044,5.44874515135344
32500,2232.71481848251,-49.7006423791564,-2.56571869561119,5.43381785401031
35000,2132.21946578784,-49.65337625155,-2.70987743706806,5.54519442464704
37500,2042.26643192917,-49.5761240099537,-2.82693615133705,5.39800975448671
