S6f, S6Zc,S6Z, S6Pc,S6P
1.000000000000000000e+00,3.191932189932855181e+04,9.070840360881028755e+04,-1.829440416483178922e+01,-2.198257524589750656e+00
2.000000000000000000e+00,2.560571809071655298e+04,9.037628623763979704e+04,-2.340128517754188309e+01,-4.381429585466160681e+00
3.000000000000000000e+00,2.266721192920251997e+04,8.983149051896887249e+04,-1.845821072327251500e+01,-6.534905107360954091e+00
4.000000000000000000e+00,2.061768200764629000e+04,8.908653305839483801e+04,-1.909789926285646544e+01,-8.644985611736057507e+00
5.000000000000000000e+00,1.921174320538586107e+04,8.815784358627820620e+04,-1.942061155882775481e+01,-1.069925610442036401e+01
6.000000000000000000e+00,1.811084779466242253e+04,8.706482715977956832e+04,-1.916348496417673530e+01,-1.268686648152501739e+01
7.000000000000000000e+00,1.737152171421408639e+04,8.582884765257274557e+04,-1.890558701212030357e+01,-1.459871235375803522e+01
8.000000000000000000e+00,1.678375597949472649e+04,8.447222618496223004e+04,-1.865548901435001383e+01,-1.642751525825652692e+01
9.000000000000000000e+00,1.629226207673145473e+04,8.301733121168900107e+04,-1.850700365456539487e+01,-1.816781154726513137e+01
1.000000000000000000e+01,1.589300765429101375e+04,8.148581304352916777e+04,-1.829475156161062088e+01,-1.981586572533577595e+01
1.500000000000000000e+01,1.433159626970108548e+04,7.332585224237316288e+04,-1.795559653146129975e+01,-2.664221432394795386e+01
2.000000000000000000e+01,1.342407336965715876e+04,6.548261236919544899e+04,-1.690855992190086710e+01,-3.129119565138020675e+01
2.500000000000000000e+01,1.282919309683485517e+04,5.869493421336902975e+04,-1.622521456550684604e+01,-3.421119411143483546e+01
3.000000000000000000e+01,1.239267993616463718e+04,5.307726723456093168e+04,-1.548918180098431741e+01,-3.586610289373535210e+01
3.500000000000000000e+01,1.205853485300319880e+04,4.850225038158843381e+04,-1.502052836527208157e+01,-3.662904749526448001e+01
4.000000000000000000e+01,1.178328976312697159e+04,4.478591407094457099e+04,-1.448881269867970190e+01,-3.677466196518935959e+01
4.500000000000000000e+01,1.155470129772841938e+04,4.175571139061498980e+04,-1.409198311810346915e+01,-3.649869308389139633e+01
5.000000000000000000e+01,1.138194134306763954e+04,3.926864647165517090e+04,-1.366157254849062141e+01,-3.593931781128971181e+01
5.500000000000000000e+01,1.122525349426728644e+04,3.721162360098473437e+04,-1.344399796469637209e+01,-3.519396349285832315e+01
6.000000000000000000e+01,1.106934509844142303e+04,3.549672015972516965e+04,-1.311141901388687714e+01,-3.433140481703453162e+01
6.500000000000000000e+01,1.095295826472572298e+04,3.405585177131729870e+04,-1.285237676961857822e+01,-3.340021538555832592e+01
7.000000000000000000e+01,1.085206297688699851e+04,3.283616757452740421e+04,-1.259668464902339124e+01,-3.243464397520347120e+01
7.500000000000000000e+01,1.075046180445701066e+04,3.179641421379214444e+04,-1.245274686659558938e+01,-3.145871990525806083e+01
8.000000000000000000e+01,1.065442789634269320e+04,3.090416550880095383e+04,-1.220018101954301137e+01,-3.048914470831953238e+01
8.500000000000000000e+01,1.058395928000158528e+04,3.013374044908781434e+04,-1.203706377622028612e+01,-2.953734666236789863e+01
9.000000000000000000e+01,1.051033877672924427e+04,2.946464352463915930e+04,-1.184674793787344882e+01,-2.861095216782325679e+01
9.500000000000000000e+01,1.044535906534381138e+04,2.888039385509559725e+04,-1.170506179286614845e+01,-2.771484660188234628e+01
1.000000000000000000e+02,1.039195843678466736e+04,2.836764185661487136e+04,-1.152037162365685852e+01,-2.685194332788899274e+01
1.500000000000000000e+02,9.961902098699421913e+03,2.549555618026808224e+04,-1.107905415463798882e+01,-2.005933281048658401e+01
2.000000000000000000e+02,9.695332427095305320e+03,2.437923131338643725e+04,-1.070697945075191093e+01,-1.578802492797189316e+01
2.500000000000000000e+02,9.505015633770544810e+03,2.383900330844960263e+04,-1.077707384595972329e+01,-1.297324464783291731e+01
3.000000000000000000e+02,9.365954131268317724e+03,2.353873678251716774e+04,-1.091148033745328760e+01,-1.101101276244718008e+01
3.500000000000000000e+02,9.244572520636216723e+03,2.335524048158959340e+04,-1.134299158956755527e+01,-9.577942039364078397e+00
4.000000000000000000e+02,9.125439638671236025e+03,2.323511207669286887e+04,-1.170390833473427250e+01,-8.492172212607666637e+00
4.500000000000000000e+02,9.023702657605186687e+03,2.315225479349786110e+04,-1.219524667295830334e+01,-7.645312963427079112e+00
5.000000000000000000e+02,8.923034795969930201e+03,2.309271742339108823e+04,-1.260745776878321323e+01,-6.969296988181571173e+00
5.500000000000000000e+02,8.833478026281010898e+03,2.304850268312106346e+04,-1.312406785001036447e+01,-6.419430411223114419e+00
6.000000000000000000e+02,8.741638288355719851e+03,2.301476327452146870e+04,-1.355899582071591958e+01,-5.965239707585339168e+00
6.500000000000000000e+02,8.657352904177341770e+03,2.298842404452601841e+04,-1.405963778149216559e+01,-5.585272430123361609e+00
7.000000000000000000e+02,8.578156283591242754e+03,2.296745855338771798e+04,-1.450884719237349962e+01,-5.264008653936235405e+00
7.500000000000000000e+02,8.489809927944603260e+03,2.295048782574421784e+04,-1.500517555297412997e+01,-4.989953075037752761e+00
8.000000000000000000e+02,8.415499580226382022e+03,2.293654728326885379e+04,-1.540639512272489142e+01,-4.754415485032457589e+00
8.500000000000000000e+02,8.334646864080497835e+03,2.292494592382951305e+04,-1.587447010778930867e+01,-4.550707567985599056e+00
9.000000000000000000e+02,8.261855806739240506e+03,2.291517828955750520e+04,-1.623795922652335122e+01,-4.373599761970240252e+00
9.500000000000000000e+02,8.193453267928602145e+03,2.290686777522810371e+04,-1.667817292655472983e+01,-4.218945301412190041e+00
1.000000000000000000e+03,8.122608814516531311e+03,2.289972915168909822e+04,-1.704505284401899701e+01,-4.083414509894874200e+00
1.500000000000000000e+03,7.505897800367355558e+03,2.286134670845151413e+04,-2.076612088267394185e+01,-3.361997580027585641e+00
2.000000000000000000e+03,7.002947726383725239e+03,2.284503911389150380e+04,-2.330162540679949856e+01,-3.190529599641628522e+00
2.500000000000000000e+03,6.587966241360109962e+03,2.283435587482855044e+04,-2.574266468265318153e+01,-3.239829019684681732e+00
3.000000000000000000e+03,6.225981160306161655e+03,2.282523192239655327e+04,-2.748540656677331029e+01,-3.399583380516478126e+00
3.500000000000000000e+03,5.913608028052945883e+03,2.281627514953334321e+04,-2.916900372828225585e+01,-3.622390677216571042e+00
4.000000000000000000e+03,5.634347786044002532e+03,2.280690576967749803e+04,-3.035155767455187004e+01,-3.884503647794760983e+00
4.500000000000000000e+03,5.402690372711821510e+03,2.279684876666197670e+04,-3.154148888100460724e+01,-4.172703690474904192e+00
5.000000000000000000e+03,5.190620703548116580e+03,2.278596136458204637e+04,-3.252734191740494651e+01,-4.479041327662377725e+00
5.500000000000000000e+03,4.990235821737063816e+03,2.277416469607689942e+04,-3.347991880444426016e+01,-4.798442939886557568e+00
6.000000000000000000e+03,4.819193910184548258e+03,2.276141349221769269e+04,-3.418177165924645777e+01,-5.127513279809233993e+00
6.500000000000000000e+03,4.660678580975754812e+03,2.274768140364792271e+04,-3.497048853980658834e+01,-5.463890353566883462e+00
7.000000000000000000e+03,4.508752207848257058e+03,2.273295337375495365e+04,-3.554397823689510716e+01,-5.805876652528153770e+00
7.500000000000000000e+03,4.376164330488555606e+03,2.271722144007013412e+04,-3.609457186652966953e+01,-6.152217837583362048e+00
8.000000000000000000e+03,4.259573779018724053e+03,2.270048230787553621e+04,-3.657517187209045773e+01,-6.501964393509103601e+00
8.500000000000000000e+03,4.145389758763395548e+03,2.268273588837172792e+04,-3.713346141316439031e+01,-6.854382102028776735e+00
9.000000000000000000e+03,4.039147671492543850e+03,2.266398438534644083e+04,-3.758255245868885908e+01,-7.208892354642751243e+00
9.500000000000000000e+03,3.934868649626211663e+03,2.264423170574526375e+04,-3.801763879562897586e+01,-7.565031314673976048e+00
1.000000000000000000e+04,3.844776587582280627e+03,2.262348306789611888e+04,-3.833102503994771126e+01,-7.922421332848547770e+00
1.250000000000000000e+04,3.443372927585785419e+03,2.250504704226196191e+04,-4.011767455198565813e+01,-9.718792237815753410e+00
1.500000000000000000e+04,3.140005634961502437e+03,2.236293898962027379e+04,-4.108296431592719244e+01,-1.151506876918176125e+01
1.750000000000000000e+04,2.897992647152098925e+03,2.219848700003611884e+04,-4.194143855733831572e+01,-1.329795519781142055e+01
2.000000000000000000e+04,2.697614460012356176e+03,2.201321156293595413e+04,-4.242188570615037690e+01,-1.505923689372403906e+01
2.250000000000000000e+04,2.532261691025737491e+03,2.180876798178155514e+04,-4.282019914655598569e+01,-1.679316643147992494e+01
2.500000000000000000e+04,2.395195153878823476e+03,2.158690200443707727e+04,-4.310367554212253083e+01,-1.849542445370097354e+01
2.750000000000000000e+04,2.268629465702716516e+03,2.134941085085642044e+04,-4.337878480251796987e+01,-2.016264744123132502e+01
3.000000000000000000e+04,2.160124090832530783e+03,2.109810818480216039e+04,-4.341135429457879980e+01,-2.179218701557630666e+01
3.250000000000000000e+04,2.068224666448038988e+03,2.083479305090826892e+04,-4.347404880020204843e+01,-2.338197249428586133e+01
3.500000000000000000e+04,1.981941669195173745e+03,2.056122305826593220e+04,-4.344524876538695679e+01,-2.493042246535808104e+01
3.750000000000000000e+04,1.909345752401664868e+03,2.027909200848004184e+04,-4.343244987171145510e+01,-2.643638078025294647e+01
4.000000000000000000e+04,1.836895118441650538e+03,1.999001199372122210e+04,-4.330816464385798525e+01,-2.789906529777081445e+01
4.250000000000000000e+04,1.778566077111092454e+03,1.969549981550719895e+04,-4.311395932247361884e+01,-2.931802373504305592e+01
4.500000000000000000e+04,1.725582309877727539e+03,1.939696742989995982e+04,-4.294710446357421318e+01,-3.069309391644415541e+01
4.750000000000000000e+04,1.679371180764255769e+03,1.909571601998658662e+04,-4.291519121796502390e+01,-3.202436717406373390e+01
5.000000000000000000e+04,1.629260755101986206e+03,1.879293323243406485e+04,-4.288591754105968334e+01,-3.331215437993230921e+01
